x1	x2	t
30.000000	3.000000	0.000000
35.912281	2.637796	0.250000
43.291692	2.437537	0.500000
52.346811	2.395391	0.750000
63.223585	2.536550	1.000000
75.865076	2.934117	1.250000
89.706342	3.750639	1.500000
103.057131	5.317363	1.750000
112.124147	8.225463	2.000000
110.717708	13.148621	2.250000
94.428963	19.676368	2.500000
68.920833	25.001942	2.750000
46.167743	26.342554	3.000000
31.392744	24.097288	3.250000
23.121703	20.252502	3.500000
18.820144	16.259621	3.750000
16.834979	12.759520	4.000000
16.302080	9.922481	4.250000
16.810545	7.716838	4.500000
18.191914	6.044500	4.750000
20.413855	4.798938	5.000000
23.529341	3.886858	5.250000
27.652240	3.234467	5.500000
32.944022	2.787987	5.750000
39.602035	2.512955	6.000000
47.839819	2.394874	6.250000
57.844317	2.443721	6.500000
69.679795	2.706481	6.750000
83.075610	3.296097	7.000000
96.977336	4.451431	7.250000
108.717038	6.633955	7.500000
113.112172	10.544547	7.750000
103.932975	16.511369	8.000000
81.345399	22.866475	8.250000
56.032157	26.253325	8.500000
37.410982	25.482186	8.750000
26.402353	22.157801	9.000000
20.489214	18.112307	9.250000
17.554788	14.337022	9.500000
16.406890	11.182159	9.750000
16.454851	8.687796	10.000000
17.433752	6.776566	10.250000
19.255649	5.341687	10.500000
21.937326	4.282192	10.750000
25.565905	3.514788	11.000000
30.281682	2.976307	11.250000
36.266731	2.623196	11.500000
43.730376	2.431249	11.750000
52.879883	2.397922	12.000000
63.854897	2.550346	12.250000
76.581131	2.965071	12.500000
90.452759	3.811255	12.750000
103.694178	5.432073	13.000000
112.373871	8.432702	13.250000
110.229745	13.470220	13.500000
93.196505	20.023950	13.750000
67.548636	25.185047	14.000000
45.175298	26.296881	14.250000
30.812547	23.915741	14.500000
22.811371	20.034707	14.750000
18.666406	16.057672	15.000000
16.775163	12.591304	15.250000
16.305316	9.789718	15.500000
16.863031	7.615217	15.750000
18.289116	5.968257	16.000000
20.556743	4.742664	16.250000
23.722598	3.846109	16.500000
27.903370	3.205879	16.750000
33.262762	2.769239	17.000000
39.999602	2.502752	17.250000
48.327395	2.393066	17.500000
58.429640	2.451715	17.750000
70.359551	2.728269	18.000000
83.818846	3.340521	18.250000
97.691702	4.536540	18.500000
109.194347	6.792247	18.750000
113.009366	10.813789	19.000000
103.009075	16.868094	19.250000
79.946398	23.148589	19.500000
54.829704	26.310442	19.750000
36.650466	25.350151	20.000000
25.981666	21.947676	20.250000
20.271785	17.898945	20.500000
17.455825	14.151879	20.750000
16.382788	11.032872	21.000000
16.485049	8.572077	21.250000
17.509980	6.688991	21.500000
19.376582	5.276551	21.750000
22.106038	4.234560	22.000000
25.788649	3.480781	22.250000
30.567215	2.953115	22.500000
36.625699	2.609036	22.750000
44.174255	2.425400	23.000000
53.418660	2.400973	23.250000
64.491858	2.564880	23.500000
77.301329	2.997241	23.750000
91.198546	3.874061	24.000000
104.319492	5.550762	24.250000
112.592765	8.646158	24.500000
109.696008	13.797155	24.750000
91.936678	20.367848	25.000000
66.187044	25.355777	25.250000
44.206336	26.240936	25.500000
30.249971	23.729981	25.750000
22.511476	19.816649	26.000000
18.518762	15.857102	26.250000
16.719239	12.424875	26.500000
16.311426	9.658635	26.750000
16.918003	7.515009	27.000000
18.388780	5.893141	27.250000
20.702300	4.687272	27.500000
23.918903	3.806050	27.750000
28.158067	3.177840	28.000000
33.585698	2.750953	28.250000
40.402054	2.492981	28.500000
48.820478	2.391727	28.750000
59.020754	2.460321	29.000000
71.044435	2.751003	29.250000
84.564289	3.386592	29.500000
98.400593	4.624670	29.750000
109.650626	6.955757	30.000000
112.865480	11.089600	30.250000
102.043869	17.226344	30.500000
78.541246	23.421303	30.750000
