x1	x2	x3	x4	t
1.000000	0.000000	0.000000	0.100000	0.000000
0.951887	0.050000	-0.196880	0.094713	0.500000
0.803120	0.094713	-0.412062	0.075919	1.000000
0.539825	0.125919	-0.658159	0.031723	1.500000
0.144961	0.126436	-0.854848	-0.055765	2.000000
-0.315023	0.070155	-0.801381	-0.138972	2.500000
-0.656420	-0.012536	-0.553627	-0.162914	3.000000
-0.868650	-0.092760	-0.316295	-0.148897	3.500000
-0.972715	-0.161433	-0.111871	-0.121371	4.000000
-0.980521	-0.214131	0.078057	-0.084940	4.500000
-0.894659	-0.246373	0.271321	-0.037057	5.000000
-0.709200	-0.251188	0.484816	0.030711	5.500000
-0.409842	-0.215662	0.718681	0.134179	6.000000
0.009481	-0.117009	0.834095	0.253472	6.500000
0.424253	0.037810	0.696214	0.297756	7.000000
0.705695	0.180747	0.443662	0.255338	7.500000
0.867915	0.293148	0.225441	0.191364	8.000000
0.931136	0.372111	0.037332	0.122315	8.500000
0.905247	0.415463	-0.139579	0.046407	9.000000
0.791557	0.418518	-0.321598	-0.043705	9.500000
0.583649	0.371758	-0.522353	-0.161380	10.000000
0.269203	0.257138	-0.722146	-0.318315	10.500000
-0.138497	0.053443	-0.750490	-0.432438	11.000000
-0.481287	-0.175299	-0.557765	-0.410931	11.500000
-0.696262	-0.357488	-0.325067	-0.310526	12.000000
-0.806354	-0.485826	-0.132849	-0.204056	12.500000
-0.829110	-0.561544	0.034050	-0.097550	13.000000
-0.772305	-0.583375	0.192885	0.016217	13.500000
-0.636225	-0.545327	0.357486	0.149235	14.000000
-0.414818	-0.434141	0.534672	0.318508	14.500000
-0.101553	-0.226819	0.669168	0.509876	15.000000
0.254349	0.075735	0.607441	0.574031	15.500000
0.505887	0.347213	0.394091	0.468154	16.000000
0.648441	0.543889	0.199651	0.321676	16.500000
0.705538	0.668889	0.042407	0.181940	17.000000
0.690848	0.725829	-0.095587	0.044323	17.500000
0.609952	0.713212	-0.228253	-0.102947	18.000000
0.462595	0.622882	-0.365405	-0.275845	18.500000
0.244546	0.437367	-0.502509	-0.489807	19.000000
-0.039914	0.133075	-0.550066	-0.671446	19.500000
-0.305519	-0.234079	-0.427705	-0.655006	20.000000
-0.467619	-0.521931	-0.240417	-0.482189	20.500000
-0.545936	-0.716268	-0.092347	-0.304331	21.000000
-0.559967	-0.826262	0.026023	-0.140183	21.500000
-0.519913	-0.856452	0.129946	0.021720	22.000000
-0.430021	-0.804542	0.229222	0.196313	22.500000
-0.290691	-0.660139	0.328522	0.402042	23.000000
-0.101499	-0.402500	0.410933	0.644350	23.500000
0.120242	-0.015788	0.385919	0.780982	24.000000
0.284420	0.378482	0.246764	0.679965	24.500000
0.367006	0.664176	0.107030	0.466169	25.000000
0.391451	0.844651	0.005577	0.267494	25.500000
0.372583	0.931670	-0.073343	0.084996	26.000000
0.318107	0.929648	-0.140651	-0.096684	26.500000
0.231932	0.834986	-0.201653	-0.294815	27.000000
0.116455	0.634833	-0.254415	-0.528196	27.500000
-0.022483	0.306790	-0.269207	-0.774362	28.000000
-0.152753	-0.139530	-0.193017	-0.830962	28.500000
-0.215499	-0.524172	-0.074302	-0.644767	29.000000
-0.227054	-0.784296	0.008742	-0.410228	29.500000
-0.206758	-0.934399	0.062288	-0.202159	30.000000
-0.164766	-0.986455	0.099834	-0.009214	30.500000
-0.106924	-0.943613	0.127073	0.186186	31.000000
-0.037693	-0.800269	0.143922	0.402631	31.500000
0.036998	-0.540982	0.140139	0.653736	32.000000
0.102446	-0.146533	0.084219	0.855660	32.500000
0.121218	0.314678	-0.007026	0.806721	33.000000
