x1	x2	t
0.000000	1.000000	0.000000
0.3000000000	1.0000000000	0.300000
0.6000000000	0.9100000000	0.600000
0.8730000000	0.7300000000	0.900000
1.0920000000	0.4681000000	1.200000
1.2324300000	0.1405000000	1.500000
1.2745800000	-0.2292290000	1.800000
1.2058113000	-0.6116030000	2.100000
1.0223304000	-0.9733463900	2.400000
0.7303264830	-1.2800455100	2.700000
0.3463128300	-1.4991434549	3.000000
-0.1034302065	-1.6030373039	3.300000
-0.5843413976	-1.5720082420	3.600000
-1.0559438702	-1.3967058227	3.900000
-1.4749556170	-1.0799226616	4.200000
-1.7989324155	-0.6374359765	4.500000
-1.9901632085	-0.0977562518	4.800000
-2.0194900840	0.4992927107	5.100000
-1.8697022708	1.1051397359	5.400000
-1.5381603500	1.6660504171	5.700000
-1.0383452249	2.1274985221	6.000000
-0.4000956682	2.4390020896	6.300000
0.3316049586	2.5590307901	6.600000
1.0993141957	2.4595493025	6.900000
1.8371789864	2.1297550438	7.200000
2.4761054996	1.5786013479	7.500000
2.9496859039	0.8357696980	7.800000
3.2004168133	-0.0491360732	8.100000
3.1856759914	-1.0092611172	8.400000
2.8828976562	-1.9649639146	8.700000
2.2934084818	-2.8298332114	9.000000
1.4444585184	-3.5178557560	9.300000
0.3891017916	-3.9511933115	9.600000
-0.7962562018	-4.0679238490	9.900000
-2.0166333565	-3.8290469884	10.200000
-3.1653474531	-3.2240569815	10.500000
-4.1325645475	-2.2744527456	10.800000
-4.8149003712	-1.0346833813	11.100000
-5.1253053856	0.4097867301	11.400000
-5.0023693666	1.9473783457	11.700000
-4.4181558628	3.4480891557	12.000000
-3.3837291161	4.7735359145	12.300000
-1.9516683418	5.7886546494	12.600000
-0.2150719470	6.3741551519	12.900000
1.6971745986	6.4386767360	13.200000
3.6287776194	5.9295243564	13.500000
5.4076349264	4.8408910706	13.800000
6.8599022475	3.2186005927	14.100000
7.8254824253	1.1606299184	14.400000
8.1736714009	-1.1870148092	14.700000
7.8175669581	-3.6391162294	15.000000
