x1	x2	t
0.000000	1.000000	0.000000
0.1000000000	0.9900000000	0.100000
0.1990000000	0.9701000000	0.200000
0.2960100000	0.9404990000	0.300000
0.3900599000	0.9014930100	0.400000
0.4802092010	0.8534720899	0.500000
0.5655564100	0.7969164489	0.600000
0.6452480549	0.7323916434	0.700000
0.7184872192	0.6605429215	0.800000
0.7845415114	0.5820887704	0.900000
0.8427503884	0.4978137315	1.000000
0.8925317616	0.4085605554	1.100000
0.9333878171	0.3152217736	1.200000
0.9649099945	0.2187307742	1.300000
0.9867830719	0.1200524670	1.400000
0.9987883186	0.0201736352	1.500000
1.0008056821	-0.0799069331	1.600000
0.9928149888	-0.1791884319	1.700000
0.9748961456	-0.2766780465	1.800000
0.9472283409	-0.3714008806	1.900000
0.9100882529	-0.4624097059	2.000000
0.8638472823	-0.5487944341	2.100000
0.8089678389	-0.6296912180	2.200000
0.7459987171	-0.7042910897	2.300000
0.6755696081	-0.7718480505	2.400000
0.5983848031	-0.8316865308	2.500000
0.5152161500	-0.8832081458	2.600000
0.4268953354	-0.9258976794	2.700000
0.3343055675	-0.9593282361	2.800000
0.2383727439	-0.9831655105	2.900000
0.1400561928	-0.9971711298	3.000000
0.0403390798	-1.0012050378	3.100000
-0.0597814239	-0.9952268954	3.200000
-0.1593041135	-0.9792964840	3.300000
-0.2572337619	-0.9535731078	3.400000
-0.3525910727	-0.9183140006	3.500000
-0.4444224727	-0.8738717533	3.600000
-0.5318096481	-0.8206907885	3.700000
-0.6138787269	-0.7593029158	3.800000
-0.6898090185	-0.6903220139	3.900000
-0.7588412199	-0.6144378920	4.000000
-0.8202850091	-0.5324093911	4.100000
-0.8735259482	-0.4450567962	4.200000
-0.9180316278	-0.3532536335	4.300000
-0.9533569911	-0.2579179343	4.400000
-0.9791487846	-0.1600030559	4.500000
-0.9951490902	-0.0604881469	4.600000
-1.0011979049	0.0396316436	4.700000
-0.9972347405	0.1393551177	4.800000
-0.9832992287	0.2376850405	4.900000
-0.9595307247	0.3336381130	5.000000
-0.9261669134	0.4262548043	5.100000
-0.8835414329	0.5146089476	5.200000
-0.8320805382	0.5978170015	5.300000
-0.7722988380	0.6750468853	5.400000
-0.7047941495	0.7455263002	5.500000
-0.6302415195	0.8085504522	5.600000
-0.5493864743	0.8634890996	5.700000
-0.4630375643	0.9097928560	5.800000
-0.3720582787	0.9469986839	5.900000
-0.2773584103	0.9747345249	6.000000
-0.1798849578	0.9927230207	6.100000
-0.0806126558	1.0007842863	6.200000
0.0194657729	0.9988377090	6.300000
0.1193495438	0.9869027546	6.400000
0.2180398192	0.9650987727	6.500000
0.3145496965	0.9336438030	6.600000
0.4079140768	0.8928523954	6.700000
0.4971993163	0.8431324637	6.800000
0.5815125627	0.7849812074	6.900000
0.6600106835	0.7189801391	7.000000
0.7319086974	0.6457892694	7.100000
0.7964876243	0.5661405069	7.200000
0.8531016750	0.4808303394	7.300000
0.9011847089	0.3907118685	7.400000
0.9402558958	0.2966862790	7.500000
0.9699245237	0.1996938266	7.600000
0.9898939063	0.1007044360	7.700000
0.9999643499	0.0007080010	7.800000
1.0000351500	-0.0992955140	7.900000
0.9901055986	-0.1983060739	8.000000
0.9702749912	-0.2953335730	8.100000
0.9407416339	-0.3894077364	8.200000
0.9018008603	-0.4795878225	8.300000
0.8538420781	-0.5649720303	8.400000
0.7973448750	-0.6447065178	8.500000
0.7328742233	-0.7179939401	8.600000
0.6610748292	-0.7841014230	8.700000
0.5826646869	-0.8423678917	8.800000
0.4984278978	-0.8922106815	8.900000
0.4092068296	-0.9331313644	9.000000
0.3158936932	-0.9647207338	9.100000
0.2194216198	-0.9866628957	9.200000
0.1207553302	-0.9987384288	9.300000
0.0208814874	-1.0008265775	9.400000
-0.0792011704	-0.9929064605	9.500000
-0.1784918164	-0.9750572788	9.600000
-0.2759975443	-0.9474575244	9.700000
-0.3707432968	-0.9103831947	9.800000
-0.4617816162	-0.8642050331	9.900000
-0.5482021195	-0.8093848211	10.000000
-0.6291406017	-0.7464707610	10.100000
-0.7037876778	-0.6760919932	10.200000
-0.7713968771	-0.5989523055	10.300000
-0.8312921076	-0.5158230947	10.400000
-0.8828744171	-0.4275356530	10.500000
-0.9256279824	-0.3349728548	10.600000
-0.9591252679	-0.2390603280	10.700000
-0.9830313007	-0.1407571979	10.800000
-0.9971070205	-0.0410464959	10.900000
-1.0012116701	0.0590746711	11.000000
-0.9953042029	0.1586050914	11.100000
-0.9794436938	0.2565494608	11.200000
-0.9537887477	0.3519283356	11.300000
-0.9185959142	0.4437879270	11.400000
-0.8742171215	0.5312096391	11.500000
-0.8210961575	0.6133192549	11.600000
-0.7597642321	0.6892956781	11.700000
-0.6908346642	0.7583791445	11.800000
-0.6149967498	0.8198788195	11.900000
-0.5330088678	0.8731797063	12.000000
-0.4456908972	0.9177487960	12.100000
-0.3539160176	0.9531403978	12.200000
-0.2586019778	0.9790005956	12.300000
-0.1607019183	0.9950707874	12.400000
-0.0611948395	1.0011902713	12.500000
0.0389241876	0.9972978526	12.600000
0.1386539728	0.9834324553	12.700000
0.2369972184	0.9597327335	12.800000
0.3329704917	0.9264356843	12.900000
0.4256140602	0.8838742783	13.000000
0.5140014880	0.8324741295	13.100000
0.5972489009	0.7727492394	13.200000
0.6745238249	0.7052968569	13.300000
0.7450535105	0.6307915058	13.400000
0.8081326611	0.5499782397	13.500000
0.8631304851	0.4636651912	13.600000
0.9094970042	0.3727154908	13.700000
0.9467685533	0.2780386355	13.800000
0.9745724169	0.1805813938	13.900000
0.9926305562	0.0813183381	14.000000
1.0007623900	-0.0187579009	14.100000
0.9988866000	-0.1186465609	14.200000
0.9870219439	-0.2173487552	14.300000
0.9652870683	-0.3138774621	14.400000
0.9338993221	-0.4072673943	14.500000
0.8931725827	-0.4965846526	14.600000
0.8435141175	-0.5809360643	14.700000
0.7854205110	-0.6594781154	14.800000
0.7194726995	-0.7314253854	14.900000
0.6463301610	-0.7637418934	15.000000
