x1	x2	t
0.000000	1.000000	0.000000
0.0998333333	0.9950041667	0.100000
0.1986691653	0.9800665972	0.200000
0.2955199625	0.9553365429	0.300000
0.3894180256	0.9210610978	0.400000
0.4794251576	0.8775827305	0.500000
0.5646420387	0.8253358619	0.600000
0.6442172114	0.7648425246	0.700000
0.7173555883	0.6967071472	0.800000
0.7833263962	0.6216105149	0.900000
0.8414704778	0.5403029671	1.000000
0.8912068778	0.4535969008	1.100000
0.9320386473	0.3623586530	1.200000
0.9635578098	0.2674998446	1.300000
0.9854494367	0.1699682720	1.400000
0.9974947947	0.0707384367	1.500000
0.9995735309	-0.0291981911	1.600000
0.9916648754	-0.1288430793	1.700000
0.9738478489	-0.2272006108	1.800000
0.9463004730	-0.3232880313	1.900000
0.9092979918	-0.4161452687	2.000000
0.8632101212	-0.5048445258	2.100000
0.8084973555	-0.5884995505	2.200000
0.7457063657	-0.6662744908	2.300000
0.6754645376	-0.7373922467	2.400000
0.5984737034	-0.8011422343	2.500000
0.5155031288	-0.8568874859	2.600000
0.4273818271	-0.9040710145	2.700000
0.3349902758	-0.9422213788	2.800000
0.2392516192	-0.9709573937	2.900000
0.1411224448	-0.9899919391	3.000000
0.0415832254	-0.9991348284	3.100000
-0.0583714779	-0.9982947093	3.200000
-0.1577429522	-0.9874799761	3.300000
-0.2555383123	-0.9667986860	3.400000
-0.3507804210	-0.9364574794	3.500000
-0.4425176521	-0.8967595152	3.600000
-0.5298333993	-0.8481014419	3.700000
-0.6118552339	-0.7909694341	3.800000
-0.6877636223	-0.7259343351	3.900000
-0.7568001143	-0.6536459532	4.000000
-0.8182749214	-0.5748265689	4.100000
-0.8715738087	-0.4902637182	4.200000
-0.9161642324	-0.4008023238	4.300000
-0.9516006606	-0.3073362529	4.400000
-0.9775290249	-0.2107993863	4.500000
-0.9936902582	-0.1121562867	4.600000
-0.9999228833	-0.0123925618	4.700000
-0.9961646259	0.0874949839	4.800000
-0.9824530376	0.1865083087	4.900000
-0.9589251198	0.2836581058	5.000000
-0.9258159555	0.3779736883	5.100000
-0.8834563601	0.4685126877	5.200000
-0.8322695760	0.5543704697	5.300000
-0.7727670440	0.6346891732	5.400000
-0.7055432929	0.7086662818	5.500000
-0.6312699991	0.7755626419	5.600000
-0.5506892756	0.8347098484	5.700000
-0.4646062572	0.8855169231	5.800000
-0.3738810557	0.9274762195	5.900000
-0.2794201656	0.9601684950	6.000000
-0.1821674076	0.9832670997	6.100000
-0.0830944975	0.9965412407	6.200000
0.0168086626	0.9998582874	6.300000
0.1165438750	0.9931850973	6.400000
0.2151146201	0.9765883465	6.500000
0.3115360133	0.9502338643	6.600000
0.4048446454	0.9143849757	6.700000
0.4941082091	0.8693998703	6.800000
0.5784348139	0.8157280239	6.900000
0.6569818977	0.7539057071	7.000000
0.7289646454	0.6845506270	7.100000
0.7936638304	0.6083557557	7.200000
0.8504330011	0.5260824060	7.300000
0.8987049398	0.4385526247	7.400000
0.9379973301	0.3466409791	7.500000
0.9679175762	0.2512658184	7.600000
0.9881667255	0.1533800982	7.700000
0.9985424557	0.0539618587	7.800000
0.9989410962	-0.0459955475	7.900000
0.9893586642	-0.1454933809	8.000000
0.9698909040	-0.2435374935	8.100000
0.9407323309	-0.3391482627	8.200000
0.9021742874	-0.4313703789	8.300000
0.8546020322	-0.5192823907	8.400000
0.7984908909	-0.6020059120	8.500000
0.7344015066	-0.6787143981	8.600000
0.6629742383	-0.7486414045	8.700000
0.5849227627	-0.8110882449	8.800000
0.5010269429	-0.8654309724	8.900000
0.4121250371	-0.9111266133	9.000000
0.3191053222	-0.9477185928	9.100000
0.2228972190	-0.9748412966	9.200000
0.1244620055	-0.9922237243	9.300000
0.0247832123	-0.9996921969	9.400000
-0.0751432048	-0.9971720920	9.500000
-0.1743188158	-0.9846885898	9.600000
-0.2717526922	-0.9623664212	9.700000
-0.3664713088	-0.9304286219	9.800000
-0.4575282700	-0.8891943032	9.900000
-0.5440137662	-0.8390754644	10.000000
-0.6250636647	-0.7805728756	10.100000
-0.6998681429	-0.7142710744	10.200000
-0.7676797805	-0.6408325256	10.300000
-0.8278210274	-0.5609910016	10.400000
-0.8796909732	-0.4755442515	10.500000
-0.9227713515	-0.3853460295	10.600000
-0.9566317182	-0.2912975651	10.700000
-0.9809337525	-0.1943385578	10.800000
-0.9954346370	-0.0954377885	10.900000
-0.9999894840	0.0044165608	11.000000
-0.9945527832	0.1042267798	11.100000
-0.9791788564	0.2029955997	11.200000
-0.9540213147	0.2997361567	11.300000
-0.9193315236	0.3934818528	11.400000
-0.8754560915	0.4832960134	11.500000
-0.8228334068	0.5682812469	11.600000
-0.7619892571	0.6475884103	11.700000
-0.6935315761	0.7204250940	11.800000
-0.6181443694	0.7860635393	11.900000
-0.5365808798	0.8438479098	12.000000
-0.4496560615	0.8932008441	12.100000
-0.3582384372	0.9336292250	12.200000
-0.2632414200	0.9647291063	12.300000
-0.1656141873	0.9861897489	12.400000
-0.0663321965	0.9977967257	12.500000
0.0336125612	0.9994340638	12.600000
0.1332214725	0.9910854038	12.700000
0.2314992797	0.9728341626	12.800000
0.3274640251	0.9448627005	12.900000
0.4201568624	0.9074504988	13.000000
0.5086516368	0.8609713672	13.100000
0.5920641395	0.8058897093	13.200000
0.6695609418	0.7427558821	13.300000
0.7403677224	0.6722006968	13.400000
0.8037770049	0.5949291165	13.500000
0.8591552258	0.5117132122	13.600000
0.9059490651	0.4233844482	13.700000
0.9436909753	0.3308253750	13.800000
0.9720038525	0.2349608109	13.900000
0.9906048042	0.1367486013	14.000000
0.9993079764	0.0371700484	14.100000
0.9980264101	-0.0627798933	14.200000
0.9867729105	-0.1621025586	14.300000
0.9656599187	-0.2598055502	14.400000
0.9348983886	-0.3549126535	14.500000
0.8947956788	-0.4464735915	14.600000
0.8457524819	-0.5335735191	14.700000
0.7882588204	-0.6153421642	14.800000
0.7228891514	-0.6909625229	14.900000
0.6502966258	-0.7596790229	15.000000
