x1	x2	t
0.000000	1.000000	0.000000
0.0300000000	1.0000000000	0.030000
0.0600000000	0.9991000000	0.060000
0.0899730000	0.9973000000	0.090000
0.1198920000	0.9946008100	0.120000
0.1497300243	0.9910040500	0.150000
0.1794601458	0.9865121493	0.180000
0.2090555103	0.9811283449	0.210000
0.2384893606	0.9748566796	0.240000
0.2677350610	0.9677019988	0.270000
0.2967661210	0.9596699469	0.300000
0.3255562194	0.9507669633	0.330000
0.3540792283	0.9410002767	0.360000
0.3823092366	0.9303778999	0.390000
0.4102205736	0.9189086228	0.420000
0.4377878323	0.9066020056	0.450000
0.4649858924	0.8934683706	0.480000
0.4917899436	0.8795187938	0.510000
0.5181755074	0.8647650955	0.540000
0.5441184602	0.8492198303	0.570000
0.5695950551	0.8328962765	0.600000
0.5945819434	0.8158084248	0.630000
0.6190561962	0.7979709665	0.660000
0.6429953252	0.7793992807	0.690000
0.6663773036	0.7601094209	0.720000
0.6891805862	0.7401181018	0.750000
0.7113841293	0.7194426842	0.780000
0.7329674098	0.6981011603	0.810000
0.7539104446	0.6761121380	0.840000
0.7741938088	0.6534948247	0.870000
0.7937986535	0.6302690104	0.900000
0.8127067238	0.6064550508	0.930000
0.8309003753	0.5820738491	0.960000
0.8483625908	0.5571468379	0.990000
0.8650769959	0.5316959601	1.020000
0.8810278747	0.5057436503	1.050000
0.8962001843	0.4793128140	1.080000
0.9105795687	0.4524268085	1.110000
0.9241523729	0.4251094214	1.140000
0.9369056556	0.3973848502	1.170000
0.9488272011	0.3692776806	1.200000
0.9599055315	0.3408128645	1.230000
0.9701299174	0.3120156986	1.260000
0.9794903884	0.2829118011	1.290000
0.9879777424	0.2535270894	1.320000
0.9955835551	0.2238877571	1.350000
1.0023001878	0.1940202505	1.380000
1.0081207953	0.1639512449	1.410000
1.0130393327	0.1337076210	1.440000
1.0170505613	0.1033164410	1.470000
1.0201500545	0.0728049242	1.500000
1.0223342023	0.0422004225	1.530000
1.0236002149	0.0115303965	1.560000
1.0239461268	-0.0191776100	1.590000
1.0233707985	-0.0498959938	1.620000
1.0218739187	-0.0805971177	1.650000
1.0194560052	-0.1112533353	1.680000
1.0161184051	-0.1418370155	1.710000
1.0118632947	-0.1723205676	1.740000
1.0066936776	-0.2026764664	1.770000
1.0006133836	-0.2328772768	1.800000
0.9936270653	-0.2628956783	1.830000
0.9857401950	-0.2927044902	1.860000
0.9769590603	-0.3222766961	1.890000
0.9672907594	-0.3515854679	1.920000
0.9567431954	-0.3806041907	1.950000
