x1	x2	x3	x4	t
1.000000	0.000000	0.000000	0.100000	0.000000
0.987949	0.024899	-0.096592	0.098785	0.250000
0.951519	0.049179	-0.195410	0.094995	0.500000
0.889864	0.072144	-0.298797	0.088152	0.750000
0.801535	0.092925	-0.409213	0.077319	1.000000
0.684485	0.110337	-0.528827	0.060850	1.250000
0.536331	0.122659	-0.657619	0.036054	1.500000
0.355547	0.127363	-0.787014	-0.000668	1.750000
0.145263	0.121176	-0.885895	-0.050616	2.000000
-0.080238	0.101722	-0.900985	-0.103985	2.250000
-0.296863	0.070510	-0.819303	-0.142226	2.500000
-0.486013	0.032389	-0.690425	-0.159723	2.750000
-0.641753	-0.008159	-0.556404	-0.162880	3.000000
-0.765023	-0.048391	-0.431600	-0.158001	3.250000
-0.858456	-0.086786	-0.317521	-0.148575	3.500000
-0.924506	-0.122439	-0.212114	-0.136246	3.750000
-0.965015	-0.154725	-0.112754	-0.121692	4.000000
-0.981180	-0.183114	-0.016968	-0.105073	4.250000
-0.973607	-0.207075	0.077515	-0.086213	4.500000
-0.942351	-0.225996	0.172858	-0.064651	4.750000
-0.886925	-0.239112	0.271241	-0.039611	5.000000
-0.806291	-0.245414	0.374905	-0.009900	5.250000
-0.698857	-0.243527	0.485932	0.026255	5.500000
-0.562632	-0.231546	0.605090	0.071303	5.750000
-0.395968	-0.206913	0.727741	0.127765	6.000000
-0.200099	-0.166753	0.833077	0.194560	6.250000
0.015196	-0.109863	0.874404	0.257914	6.500000
0.228627	-0.040203	0.818036	0.293460	6.750000
0.418851	0.033973	0.697939	0.295307	7.000000
0.576565	0.105771	0.564015	0.276873	7.250000
0.701576	0.171701	0.437984	0.249696	7.500000
0.796551	0.230346	0.323707	0.219123	7.750000
0.864271	0.281144	0.219507	0.187084	8.000000
0.906918	0.323806	0.122685	0.154043	8.250000
0.926012	0.358068	0.030670	0.119825	8.500000
0.922463	0.383579	-0.058822	0.083922	8.750000
0.896637	0.399826	-0.147873	0.045564	9.000000
0.848397	0.406070	-0.238478	0.003700	9.250000
0.777103	0.401266	-0.332623	-0.043099	9.500000
0.681633	0.383950	-0.432174	-0.096761	9.750000
0.560468	0.352109	-0.538200	-0.159737	10.000000
