x1	x2	x3	x4	t
1.000000	0.000000	0.000000	0.100000	0.000000
0.998075	0.009994	-0.038513	0.099807	0.100000
0.992293	0.019948	-0.077168	0.099225	0.200000
0.982632	0.029825	-0.116105	0.098243	0.300000
0.969057	0.039583	-0.155470	0.096843	0.400000
0.951519	0.049179	-0.195411	0.094995	0.500000
0.929951	0.058566	-0.236081	0.092665	0.600000
0.904273	0.067694	-0.277638	0.089802	0.700000
0.874389	0.076507	-0.320240	0.086345	0.800000
0.840185	0.084941	-0.364048	0.082217	0.900000
0.801534	0.092925	-0.409215	0.077319	1.000000
0.758292	0.100375	-0.455873	0.071531	1.100000
0.710306	0.107196	-0.504112	0.064706	1.200000
0.657416	0.113276	-0.553943	0.056664	1.300000
0.599468	0.118481	-0.605239	0.047193	1.400000
0.536332	0.122659	-0.657632	0.036052	1.500000
0.467930	0.125628	-0.710376	0.022989	1.600000
0.394288	0.127185	-0.762145	0.007778	1.700000
0.315602	0.127107	-0.810820	-0.009700	1.800000
0.232328	0.125172	-0.853343	-0.029333	1.900000
0.145267	0.121184	-0.885882	-0.050632	2.000000
0.055617	0.115022	-0.904521	-0.072633	2.100000
-0.035078	0.106679	-0.906484	-0.093992	2.200000
-0.125104	0.096292	-0.891294	-0.113309	2.300000
-0.212831	0.084121	-0.861012	-0.129543	2.400000
-0.296927	0.070502	-0.819355	-0.142235	2.500000
-0.376459	0.055790	-0.770379	-0.151465	2.600000
-0.450875	0.040311	-0.717534	-0.157638	2.700000
-0.519921	0.024347	-0.663311	-0.161275	2.800000
-0.583546	0.008124	-0.609309	-0.162883	2.900000
-0.641821	-0.008177	-0.556448	-0.162895	3.000000
-0.694889	-0.024414	-0.505190	-0.161657	3.100000
-0.742919	-0.040475	-0.455711	-0.159432	3.200000
-0.786091	-0.056274	-0.408017	-0.156420	3.300000
-0.824579	-0.071738	-0.362018	-0.152769	3.400000
-0.858546	-0.086810	-0.317574	-0.148587	3.500000
-0.888140	-0.101440	-0.274521	-0.143950	3.600000
-0.913491	-0.115586	-0.232688	-0.138913	3.700000
-0.934713	-0.129211	-0.191905	-0.133513	3.800000
-0.951901	-0.142278	-0.152005	-0.127772	3.900000
-0.965138	-0.154754	-0.112828	-0.121703	4.000000
-0.974486	-0.166607	-0.074220	-0.115307	4.100000
-0.979996	-0.177805	-0.036034	-0.108579	4.200000
-0.981702	-0.188312	0.001874	-0.101504	4.300000
-0.979626	-0.198093	0.039644	-0.094063	4.400000
-0.973773	-0.207111	0.077414	-0.086228	4.500000
-0.964138	-0.215325	0.115321	-0.077964	4.600000
-0.950700	-0.222688	0.153503	-0.069230	4.700000
-0.933424	-0.229153	0.192099	-0.059973	4.800000
-0.912262	-0.234663	0.231251	-0.050132	4.900000
-0.887150	-0.239158	0.271103	-0.039636	5.000000
-0.858013	-0.242566	0.311800	-0.028400	5.100000
-0.824757	-0.244810	0.353487	-0.016323	5.200000
-0.787278	-0.245799	0.396299	-0.003290	5.300000
-0.745456	-0.245431	0.440358	0.010836	5.400000
-0.699162	-0.243590	0.485748	0.026208	5.500000
-0.648261	-0.240143	0.532490	0.042998	5.600000
-0.592622	-0.234937	0.580493	0.061388	5.700000
-0.532129	-0.227806	0.629476	0.081556	5.800000
-0.466713	-0.218562	0.678850	0.103642	5.900000
-0.396381	-0.207012	0.727555	0.127687	6.000000
-0.321280	-0.192964	0.773861	0.153534	6.100000
-0.241773	-0.176260	0.815195	0.180693	6.200000
-0.158520	-0.156813	0.848155	0.208190	6.300000
-0.072548	-0.134661	0.868957	0.234524	6.400000
0.014757	-0.110009	0.874425	0.257852	6.500000
0.101777	-0.083249	0.863229	0.276459	6.600000
0.186883	-0.054911	0.836532	0.289299	6.700000
0.268672	-0.025586	0.797531	0.296249	6.800000
0.346113	0.004163	0.750233	0.297947	6.900000
0.418566	0.033862	0.698317	0.295404	7.000000
0.485717	0.063138	0.644578	0.289669	7.100000
0.547484	0.091719	0.590864	0.281640	7.200000
0.603928	0.119413	0.538266	0.272012	7.300000
0.655193	0.146085	0.487346	0.261287	7.400000
0.701461	0.171645	0.438330	0.249817	7.500000
0.742924	0.196032	0.391247	0.237839	7.600000
0.779772	0.219202	0.346011	0.225509	7.700000
0.812183	0.241125	0.302479	0.212926	7.800000
0.840319	0.261781	0.260482	0.200149	7.900000
0.864324	0.281150	0.219841	0.187208	8.000000
0.884326	0.299217	0.180380	0.174113	8.100000
0.900434	0.315967	0.141927	0.160860	8.200000
0.912740	0.331383	0.104320	0.147435	8.300000
0.921321	0.345447	0.067403	0.133812	8.400000
0.926238	0.358138	0.031029	0.119961	8.500000
0.927540	0.369431	-0.004942	0.105844	8.600000
0.925259	0.379296	-0.040645	0.091416	8.700000
0.919415	0.387702	-0.076213	0.076627	8.800000
0.910017	0.394608	-0.111774	0.061419	8.900000
0.897057	0.399970	-0.147456	0.045729	9.000000
0.880517	0.403735	-0.183385	0.029484	9.100000
0.860367	0.405845	-0.219688	0.012600	9.200000
0.836563	0.406231	-0.256492	-0.005015	9.300000
0.809048	0.404814	-0.293926	-0.023467	9.400000
0.777753	0.401506	-0.332112	-0.042874	9.500000
0.742596	0.396203	-0.371169	-0.063370	9.600000
0.703486	0.388790	-0.411199	-0.085106	9.700000
0.660321	0.379135	-0.452277	-0.108242	9.800000
0.612995	0.367090	-0.494424	-0.132951	9.900000
0.561403	0.352487	-0.537576	-0.159402	10.000000
0.505453	0.335146	-0.581517	-0.187739	10.100000
0.445088	0.314874	-0.625795	-0.218039	10.200000
0.380310	0.291475	-0.669589	-0.250239	10.300000
0.311230	0.264772	-0.711538	-0.284021	10.400000
0.238131	0.234641	-0.749573	-0.318652	10.500000
0.161540	0.201056	-0.780852	-0.352825	10.600000
0.082300	0.164156	-0.801986	-0.384585	10.700000
0.001590	0.124300	-0.809769	-0.411540	10.800000
-0.079142	0.082085	-0.802283	-0.431433	10.900000
-0.158363	0.038297	-0.779800	-0.442880	11.000000
-0.234681	-0.006205	-0.744768	-0.445800	11.100000
-0.307020	-0.050613	-0.700850	-0.441247	11.200000
-0.374679	-0.094260	-0.651737	-0.430854	11.300000
-0.437295	-0.136645	-0.600400	-0.416290	11.400000
-0.494754	-0.177426	-0.548875	-0.398954	11.500000
-0.547105	-0.216379	-0.498394	-0.379893	11.600000
-0.594490	-0.253371	-0.449609	-0.359834	11.700000
-0.637093	-0.288329	-0.402794	-0.339254	11.800000
-0.675116	-0.321215	-0.357997	-0.318454	11.900000
-0.708757	-0.352018	-0.315140	-0.297612	12.000000
-0.738204	-0.380739	-0.274082	-0.276825	12.100000
-0.763628	-0.407387	-0.234650	-0.256136	12.200000
-0.785182	-0.431970	-0.196663	-0.235553	12.300000
-0.803003	-0.454500	-0.159944	-0.215061	12.400000
-0.817208	-0.474984	-0.124320	-0.194626	12.500000
-0.827898	-0.493426	-0.089631	-0.174207	12.600000
-0.835160	-0.509825	-0.055723	-0.153753	12.700000
-0.839064	-0.524174	-0.022456	-0.133208	12.800000
-0.839668	-0.536461	0.010306	-0.112510	12.900000
-0.837015	-0.546668	0.042690	-0.091590	13.000000
-0.831139	-0.554769	0.074815	-0.070379	13.100000
-0.822057	-0.560732	0.106801	-0.048796	13.200000
-0.809779	-0.564513	0.138760	-0.026757	13.300000
-0.794302	-0.566065	0.170804	-0.004171	13.400000
-0.775612	-0.565326	0.203042	0.019063	13.500000
-0.753684	-0.562227	0.235583	0.043057	13.600000
-0.728482	-0.556685	0.268531	0.067932	13.700000
-0.699960	-0.548607	0.301989	0.093825	13.800000
-0.668064	-0.537882	0.336051	0.120881	13.900000
-0.632727	-0.524386	0.370799	0.149262	14.000000
-0.593879	-0.507979	0.406290	0.179140	14.100000
-0.551444	-0.488503	0.442541	0.210689	14.200000
-0.505347	-0.465780	0.479500	0.244074	14.300000
-0.455525	-0.439622	0.517001	0.279426	14.400000
-0.401940	-0.409828	0.554700	0.316793	14.500000
-0.344599	-0.376199	0.591973	0.356067	14.600000
-0.283593	-0.338563	0.627787	0.396857	14.700000
-0.219143	-0.296805	0.660549	0.438320	14.800000
-0.151659	-0.250925	0.688013	0.478970	14.900000
-0.081810	-0.201112	0.707365	0.516561	15.000000
-0.010555	-0.147810	0.715689	0.548236	15.100000
0.060886	-0.091759	0.710844	0.571119	15.200000
0.131157	-0.033948	0.692404	0.583220	15.300000
0.198965	0.024510	0.661993	0.584146	15.400000
0.263259	0.082547	0.622694	0.575103	15.500000
0.323324	0.139269	0.577965	0.558240	15.600000
0.378771	0.194012	0.530770	0.535879	15.700000
0.429467	0.246329	0.483232	0.510012	15.800000
0.475451	0.295948	0.436664	0.482130	15.900000
0.516857	0.342722	0.391772	0.453256	16.000000
0.553871	0.386588	0.348862	0.424043	16.100000
0.586697	0.427533	0.307996	0.394885	16.200000
0.615536	0.465574	0.269101	0.366000	16.300000
0.640579	0.500746	0.232038	0.337494	16.400000
0.661999	0.533087	0.196633	0.309399	16.500000
0.679955	0.562639	0.162709	0.281704	16.600000
0.694584	0.589440	0.130088	0.254366	16.700000
0.706010	0.613522	0.098605	0.227328	16.800000
0.714338	0.634913	0.068103	0.200520	16.900000
0.719659	0.653631	0.038438	0.173866	17.000000
0.722049	0.669688	0.009477	0.147284	17.100000
0.721573	0.683088	-0.018905	0.120689	17.200000
