x1	x2	x3	x4	t
1.000000	0.000000	0.000000	0.100000	0.000000
0.807550	0.100000	-0.420347	0.071779	1.000000
0.159306	0.143558	-0.787853	-0.082250	2.000000
-0.768156	-0.064500	-0.690190	-0.188135	3.000000
-1.221075	-0.232712	-0.305314	-0.140082	4.000000
-1.378785	-0.344664	-0.035841	-0.081487	5.000000
-1.292757	-0.395686	0.214721	-0.011632	6.000000
-0.949342	-0.367928	0.519623	0.096050	7.000000
-0.253510	-0.203587	0.885961	0.317029	8.000000
0.822580	0.266129	0.867356	0.402184	9.000000
1.481202	0.600782	0.560544	0.294872	10.000000
1.943668	0.855872	0.401192	0.228109	11.000000
2.283586	1.057000	0.294707	0.180201	12.000000
2.533081	1.216275	0.212681	0.141598	13.000000
2.708949	1.340196	0.143841	0.108077	14.000000
2.820763	1.432429	0.082539	0.077366	15.000000
2.874027	1.494928	0.025392	0.048002	16.000000
2.871547	1.528433	-0.030000	0.018856	17.000000
2.814027	1.532641	-0.085678	-0.011128	18.000000
2.700191	1.506177	-0.143757	-0.043154	19.000000
2.526513	1.446334	-0.206899	-0.078862	20.000000
2.286393	1.348454	-0.279118	-0.120879	21.000000
1.968278	1.204575	-0.367613	-0.174171	22.000000
1.551168	1.000112	-0.488143	-0.250262	23.000000
0.991992	0.704052	-0.685083	-0.385421	24.000000
0.181001	0.229270	-0.953893	-0.655793	25.000000
-0.915794	-0.607534	-0.951716	-0.740559	26.000000
-1.722431	-1.251848	-0.752718	-0.605126	27.000000
-2.421229	-1.817787	-0.670316	-0.544555	28.000000
-3.063063	-2.340958	-0.623849	-0.509426	29.000000
-3.668927	-2.836639	-0.593299	-0.485966	30.000000
-4.249662	-3.312891	-0.571374	-0.468955	31.000000
-4.811675	-3.774549	-0.554722	-0.455938	32.000000
-5.359106	-4.224767	-0.541564	-0.445593	33.000000
-5.894802	-4.665735	-0.530855	-0.437136	34.000000
-6.420817	-5.099040	-0.521942	-0.430070	35.000000
-6.938686	-5.525875	-0.514387	-0.424063	36.000000
-7.449591	-5.947165	-0.507889	-0.418882	37.000000
-7.954465	-6.363640	-0.502232	-0.414362	38.000000
-8.454056	-6.775889	-0.497256	-0.410377	39.000000
-8.948976	-7.184394	-0.492839	-0.406834	40.000000
-9.439733	-7.589557	-0.488889	-0.403661	41.000000
-9.926753	-7.991715	-0.485332	-0.400799	42.000000
-10.410398	-8.391155	-0.482111	-0.398205	43.000000
-10.890975	-8.788124	-0.479178	-0.395840	44.000000
-11.368754	-9.182834	-0.476495	-0.393674	45.000000
-11.843966	-9.575471	-0.474031	-0.391682	46.000000
-12.316816	-9.966198	-0.471758	-0.389844	47.000000
-12.787482	-10.355158	-0.469654	-0.388141	48.000000
-13.256124	-10.742480	-0.467701	-0.386559	49.000000
-13.722884	-11.128275	-0.465882	-0.385084	50.000000
-14.187888	-11.512648	-0.464184	-0.383707	51.000000
-14.651252	-11.895689	-0.462595	-0.382417	52.000000
-15.113077	-12.277481	-0.461103	-0.381205	53.000000
-15.573458	-12.658100	-0.459701	-0.380066	54.000000
-16.032479	-13.037613	-0.458380	-0.378992	55.000000
-16.490218	-13.416083	-0.457133	-0.377977	56.000000
-16.946744	-13.793568	-0.455953	-0.377018	57.000000
-17.402124	-14.170119	-0.454836	-0.376108	58.000000
-17.856417	-14.545784	-0.453777	-0.375245	59.000000
-18.309678	-14.920609	-0.452770	-0.374425	60.000000
-18.761957	-15.294635	-0.451812	-0.373645	61.000000
-19.213303	-15.667899	-0.450900	-0.372901	62.000000
-19.663758	-16.040437	-0.450030	-0.372191	63.000000
-20.113363	-16.412281	-0.449199	-0.371513	64.000000
-20.562155	-16.783463	-0.448405	-0.370865	65.000000
-21.010172	-17.154011	-0.447644	-0.370244	66.000000
-21.457444	-17.523951	-0.446916	-0.369649	67.000000
-21.904003	-17.893310	-0.446218	-0.369079	68.000000
-22.349879	-18.262109	-0.445547	-0.368531	69.000000
-22.795098	-18.630373	-0.444903	-0.368005	70.000000
-23.239686	-18.998120	-0.444284	-0.367499	71.000000
-23.683666	-19.365371	-0.443688	-0.367012	72.000000
-24.127062	-19.732144	-0.443115	-0.366543	73.000000
-24.569895	-20.098456	-0.442562	-0.366091	74.000000
-25.012186	-20.464325	-0.442029	-0.365654	75.000000
-25.453953	-20.829765	-0.441514	-0.365233	76.000000
-25.895214	-21.194792	-0.441017	-0.364827	77.000000
-26.335987	-21.559419	-0.440537	-0.364434	78.000000
-26.776288	-21.923659	-0.440073	-0.364054	79.000000
-27.216132	-22.287526	-0.439623	-0.363686	80.000000
-27.655535	-22.651031	-0.439189	-0.363330	81.000000
-28.094509	-23.014185	-0.438767	-0.362985	82.000000
-28.533070	-23.377000	-0.438359	-0.362650	83.000000
-28.971228	-23.739486	-0.437964	-0.362326	84.000000
-29.408997	-24.101652	-0.437580	-0.362011	85.000000
-29.846388	-24.463509	-0.437207	-0.361706	86.000000
-30.283411	-24.825064	-0.436845	-0.361410	87.000000
-30.720078	-25.186328	-0.436494	-0.361122	88.000000
-31.156399	-25.547307	-0.436153	-0.360842	89.000000
