x1	x2	x3	x4	t
-0.780350	0.471379	-0.199939	-0.002035	59.000000
-0.835778	0.444564	-0.021901	-0.103014	59.500000
-0.800943	0.369769	0.164030	-0.195377	60.000000
-0.667264	0.249643	0.376908	-0.284630	60.500000
-0.416783	0.086863	0.629769	-0.361145	61.000000
-0.045874	-0.097287	0.817973	-0.351350	61.500000
0.344003	-0.239806	0.698197	-0.208884	62.000000
0.635866	-0.309718	0.468336	-0.077849	62.500000
0.815996	-0.324119	0.256168	0.015340	63.000000
0.894780	-0.297964	0.060383	0.086672	63.500000
0.876246	-0.239373	-0.136152	0.146232	64.000000
0.755319	-0.153000	-0.352613	0.197919	64.500000
0.517106	-0.043559	-0.606496	0.235837	65.000000
0.149446	0.074234	-0.842025	0.220514	65.500000
-0.272119	0.159165	-0.787818	0.110580	66.000000
-0.606568	0.187780	-0.542874	0.011012	66.500000
-0.818094	0.176852	-0.308311	-0.049785	67.000000
-0.919004	0.141603	-0.098066	-0.088537	67.500000
-0.917225	0.090448	0.105665	-0.114267	68.000000
-0.811194	0.029132	0.322296	-0.128994	68.500000
-0.589501	-0.035842	0.570602	-0.126876	69.000000
-0.237758	-0.091082	0.824947	-0.084389	69.500000
0.194287	-0.109682	0.843499	0.012941	70.000000
0.559217	-0.084397	0.599856	0.079294	70.500000
0.795118	-0.037654	0.349391	0.102881	71.000000
0.913958	0.015177	0.129960	0.106053	71.500000
0.927300	0.066394	-0.075957	0.096960	72.000000
0.836980	0.110120	-0.287965	0.075561	72.500000
0.635121	0.138797	-0.524797	0.034812	73.000000
0.308141	0.138758	-0.778615	-0.042560	73.500000
-0.115393	0.090132	-0.860916	-0.148828	74.000000
-0.496497	0.002740	-0.636230	-0.187189	74.500000
-0.748582	-0.087979	-0.377543	-0.170832	75.000000
-0.880361	-0.165283	-0.154691	-0.136570	75.500000
-0.906577	-0.222969	0.048144	-0.092576	76.000000
-0.832260	-0.255904	0.250615	-0.036680	76.500000
-0.652979	-0.256272	0.470724	0.039779	77.000000
-0.357518	-0.209965	0.710460	0.152522	77.500000
