x1	x2	x3	x4	t
1.000000	0.000000	0.000000	0.100000	0.000000
0.987972	0.025000	-0.096775	0.098769	0.250000
0.951612	0.049384	-0.195782	0.094925	0.500000
0.890081	0.072462	-0.299357	0.087978	0.750000
0.801934	0.093374	-0.409928	0.076968	1.000000
0.685117	0.110946	-0.529527	0.060210	1.250000
0.537171	0.123479	-0.657670	0.034983	1.500000
0.356282	0.128438	-0.784569	-0.002157	1.750000
0.144886	0.122400	-0.878220	-0.051724	2.000000
-0.082828	0.102576	-0.891185	-0.103658	2.250000
-0.300706	0.070571	-0.813660	-0.141598	2.500000
-0.489658	0.031777	-0.687925	-0.159580	2.750000
-0.644669	-0.009219	-0.555013	-0.163055	3.000000
-0.767165	-0.049751	-0.430480	-0.158267	3.250000
-0.859909	-0.088353	-0.316412	-0.148802	3.500000
-0.925371	-0.124151	-0.210936	-0.136365	3.750000
-0.965377	-0.156535	-0.111480	-0.121663	4.000000
-0.981111	-0.184983	-0.015579	-0.104863	4.250000
-0.973167	-0.208966	0.079035	-0.085786	4.500000
-0.941593	-0.227876	0.174532	-0.063964	4.750000
-0.885901	-0.240949	0.273088	-0.038605	5.000000
-0.805049	-0.247178	0.376920	-0.008488	5.250000
-0.697441	-0.245193	0.488014	0.028185	5.500000
-0.561042	-0.233086	0.606798	0.073855	5.750000
-0.394041	-0.208265	0.727646	0.130806	6.000000
-0.197219	-0.167683	0.828116	0.197042	6.250000
0.020016	-0.109744	0.864120	0.258198	6.500000
0.234841	-0.038584	0.809316	0.292853	6.750000
0.424674	0.036683	0.692644	0.295304	7.000000
0.581163	0.109068	0.560363	0.277234	7.250000
0.704856	0.175299	0.434961	0.250049	7.500000
0.798643	0.234093	0.320950	0.219287	7.750000
0.865331	0.284943	0.216886	0.186980	8.000000
0.907086	0.327583	0.120140	0.153630	8.250000
0.925401	0.361758	0.028162	0.119070	8.500000
0.921167	0.387118	-0.061326	0.082786	8.750000
0.894738	0.403151	-0.150404	0.043996	9.000000
0.845965	0.409116	-0.241064	0.001628	9.250000
0.774206	0.403965	-0.335271	-0.045773	9.500000
0.678329	0.386229	-0.434823	-0.100160	9.750000
0.556794	0.353885	-0.540552	-0.163962	10.000000
0.408053	0.304248	-0.649500	-0.239208	10.250000
0.232044	0.234281	-0.747221	-0.323471	10.500000
0.034443	0.142513	-0.798489	-0.400520	10.750000
-0.167201	0.034021	-0.768175	-0.441781	11.000000
-0.349645	-0.078378	-0.667737	-0.435687	11.250000
-0.501069	-0.183823	-0.542002	-0.398413	11.500000
-0.620646	-0.277584	-0.420190	-0.349053	11.750000
-0.711164	-0.358349	-0.310031	-0.296836	12.000000
-0.775661	-0.426002	-0.210820	-0.244707	12.250000
-0.816574	-0.480702	-0.119980	-0.193093	12.500000
-0.835651	-0.522549	-0.034925	-0.141506	12.750000
-0.834036	-0.551456	0.046599	-0.089088	13.000000
-0.812352	-0.567093	0.126556	-0.034752	13.250000
-0.770758	-0.568832	0.206735	0.022832	13.500000
-0.708984	-0.555677	0.288823	0.085323	13.750000
-0.626347	-0.526170	0.374342	0.154814	14.000000
-0.521813	-0.478270	0.464185	0.233811	14.250000
-0.394254	-0.409265	0.556915	0.324475	14.500000
-0.243356	-0.316032	0.643793	0.425135	14.750000
-0.072358	-0.196697	0.699935	0.520679	15.000000
0.106611	-0.055693	0.690341	0.577358	15.250000
0.272813	0.091982	0.610619	0.572429	15.500000
0.411921	0.230522	0.497187	0.521004	15.750000
0.521406	0.352484	0.383611	0.451120	16.000000
0.603727	0.456082	0.281238	0.378098	16.250000
0.662025	0.541533	0.190379	0.306780	16.500000
0.698916	0.609472	0.108611	0.237790	16.750000
0.716331	0.660427	0.033369	0.170365	17.000000
0.715601	0.694654	-0.037535	0.103306	17.250000
0.697563	0.712081	-0.105926	0.035226	17.500000
0.662637	0.712267	-0.173371	-0.035444	17.750000
0.610877	0.694359	-0.241261	-0.110532	18.000000
0.542007	0.657001	-0.310798	-0.192239	18.250000
0.455478	0.598239	-0.382726	-0.283135	18.500000
0.350644	0.515434	-0.456337	-0.385609	18.750000
0.227310	0.405435	-0.526494	-0.499138	19.000000
0.087397	0.265864	-0.577218	-0.611713	19.250000
-0.061299	0.099578	-0.580065	-0.689052	19.500000
-0.202636	-0.078662	-0.521106	-0.695785	19.750000
-0.321852	-0.248315	-0.424435	-0.638161	20.000000
-0.414854	-0.397742	-0.323540	-0.551244	20.250000
-0.483622	-0.523936	-0.232860	-0.459044	20.500000
-0.531284	-0.627264	-0.153812	-0.369822	20.750000
-0.560528	-0.708847	-0.084183	-0.284862	21.000000
-0.573375	-0.769695	-0.021477	-0.203237	21.250000
-0.571266	-0.810466	0.036389	-0.123424	21.500000
-0.555181	-0.831407	0.091068	-0.043744	21.750000
-0.525733	-0.832338	0.143888	0.037592	22.000000
-0.483237	-0.812611	0.195937	0.122551	22.250000
-0.427764	-0.771062	0.248078	0.213396	22.500000
-0.359198	-0.705913	0.300787	0.312723	22.750000
-0.277370	-0.614701	0.353590	0.423087	23.000000
-0.182403	-0.494370	0.403377	0.545040	23.250000
-0.075682	-0.342181	0.440495	0.670290	23.500000
0.037844	-0.159225	0.445356	0.768633	23.750000
0.146996	0.042136	0.402293	0.795606	24.000000
0.238991	0.238578	0.324077	0.741944	24.250000
0.309035	0.413107	0.239445	0.643670	24.500000
0.358713	0.560413	0.164075	0.535107	24.750000
0.391072	0.680661	0.100127	0.429978	25.000000
0.408777	0.775402	0.045523	0.330983	25.250000
0.413834	0.846153	-0.002159	0.237229	25.500000
0.407697	0.894017	-0.044858	0.146913	25.750000
0.391405	0.919609	-0.084023	0.058076	26.000000
0.365686	0.923055	-0.120724	-0.031269	26.250000
0.331043	0.903975	-0.155741	-0.123203	26.500000
0.287815	0.861453	-0.189591	-0.220014	26.750000
0.236248	0.793968	-0.222435	-0.324261	27.000000
0.176598	0.699323	-0.253745	-0.438563	27.250000
0.109375	0.574686	-0.281399	-0.564263	27.500000
0.035898	0.417191	-0.299624	-0.696423	27.750000
-0.040437	0.226475	-0.296648	-0.811553	28.000000
-0.112426	0.011415	-0.260892	-0.862988	28.250000
-0.170883	-0.205019	-0.198845	-0.823763	28.500000
-0.211848	-0.400467	-0.132245	-0.722026	28.750000
-0.237005	-0.566032	-0.075104	-0.601299	29.000000
-0.249400	-0.701116	-0.029199	-0.483048	29.250000
-0.251605	-0.807556	0.007776	-0.372492	29.500000
-0.245512	-0.887362	0.038242	-0.269093	29.750000
-0.232484	-0.942102	0.063984	-0.170852	30.000000
-0.213520	-0.972788	0.086213	-0.075559	30.250000
-0.189378	-0.979882	0.105717	0.018958	30.500000
-0.160662	-0.963309	0.122966	0.114865	30.750000
-0.127895	-0.922449	0.138138	0.214439	31.000000
-0.091592	-0.856090	0.151063	0.320153	31.250000
-0.052363	-0.762373	0.161018	0.434578	31.500000
-0.011083	-0.638801	0.166251	0.559525	31.750000
0.030762	-0.482610	0.163058	0.692616	32.000000
0.070446	-0.292493	0.145011	0.817442	32.250000
0.103268	-0.073890	0.106673	0.892028	32.500000
0.123782	0.153521	0.054400	0.875340	32.750000
0.130468	0.363780	0.004705	0.779591	33.000000
0.126134	0.543316	-0.032595	0.652402	33.250000
0.114170	0.689981	-0.058116	0.524665	33.500000
0.097077	0.805649	-0.075256	0.405560	33.750000
0.076542	0.892761	-0.086686	0.295391	34.000000
0.053733	0.953344	-0.094067	0.192095	34.250000
0.029509	0.988809	-0.098349	0.093250	34.500000
0.004559	0.999969	-0.100019	-0.003473	34.750000
-0.020501	0.987073	-0.099226	-0.100302	35.000000
-0.045054	0.949818	-0.095821	-0.199473	35.250000
-0.068411	0.887336	-0.089311	-0.303330	35.500000
-0.089710	0.798153	-0.078723	-0.414306	35.750000
-0.107773	0.680183	-0.062346	-0.534397	36.000000
-0.120883	0.530954	-0.037410	-0.662932	36.250000
-0.126478	0.348717	-0.000422	-0.789489	36.500000
-0.121094	0.136210	0.049025	-0.880950	36.750000
-0.101965	-0.091758	0.100631	-0.890168	37.000000
-0.070778	-0.308874	0.138195	-0.809783	37.250000
-0.032868	-0.496650	0.156135	-0.683210	37.500000
0.007289	-0.650479	0.159902	-0.550499	37.750000
0.047083	-0.771899	0.155558	-0.426384	38.000000
0.085068	-0.863671	0.146582	-0.312671	38.250000
0.120374	-0.928235	0.134631	-0.207430	38.500000
0.152384	-0.967386	0.120398	-0.108090	38.750000
0.180573	-0.982280	0.104046	-0.012194	39.000000
0.204407	-0.973483	0.085397	0.082520	39.250000
0.223271	-0.941019	0.063982	0.178223	39.500000
0.236397	-0.884372	0.039005	0.277096	39.750000
0.242774	-0.802471	0.009240	0.381365	40.000000
0.241017	-0.693689	-0.027132	0.492998	40.250000
0.229208	-0.555973	-0.072568	0.612308	40.500000
