x1	x2	x3	x4	t
1.000000	0.000000	0.000000	0.100000	0.000000
0.998075	0.010000	-0.038525	0.099807	0.100000
0.992295	0.019961	-0.077191	0.099224	0.200000
0.982637	0.029845	-0.116140	0.098240	0.300000
0.969067	0.039609	-0.155517	0.096835	0.400000
0.951534	0.049212	-0.195470	0.094984	0.500000
0.929973	0.058606	-0.236153	0.092648	0.600000
0.904303	0.067741	-0.277721	0.089778	0.700000
0.874429	0.076562	-0.320335	0.086313	0.800000
0.840236	0.085004	-0.364154	0.082174	0.900000
0.801598	0.092996	-0.409329	0.077263	1.000000
0.758370	0.100457	-0.455991	0.071459	1.100000
0.710399	0.107288	-0.504227	0.064615	1.200000
0.657525	0.113380	-0.554044	0.056550	1.300000
0.599591	0.118598	-0.605305	0.047052	1.400000
0.536464	0.122790	-0.657634	0.035882	1.500000
0.468064	0.125775	-0.710266	0.022789	1.600000
0.394411	0.127348	-0.761859	0.007553	1.700000
0.315692	0.127285	-0.810279	-0.009935	1.800000
0.232355	0.125361	-0.852477	-0.029554	1.900000
0.145197	0.121374	-0.884670	-0.050802	2.000000
0.055421	0.115200	-0.903039	-0.072721	2.100000
-0.035411	0.106830	-0.904910	-0.093988	2.200000
-0.125561	0.096403	-0.889831	-0.113236	2.300000
-0.213377	0.084183	-0.859799	-0.129439	2.400000
-0.297521	0.070515	-0.818428	-0.142137	2.500000
-0.377063	0.055756	-0.769704	-0.151393	2.600000
-0.451461	0.040236	-0.717046	-0.157597	2.700000
-0.520472	0.024236	-0.662950	-0.161262	2.800000
-0.584052	0.007984	-0.609029	-0.162893	2.900000
-0.642278	-0.008342	-0.556216	-0.162920	3.000000
-0.695295	-0.024600	-0.504986	-0.161691	3.100000
-0.743275	-0.040680	-0.455522	-0.159471	3.200000
-0.786399	-0.056494	-0.407834	-0.156460	3.300000
-0.824842	-0.071972	-0.361836	-0.152808	3.400000
-0.858766	-0.087056	-0.317390	-0.148621	3.500000
-0.888320	-0.101697	-0.274333	-0.143978	3.600000
-0.913633	-0.115852	-0.232495	-0.138934	3.700000
-0.934819	-0.129483	-0.191705	-0.133526	3.800000
-0.951974	-0.142557	-0.151798	-0.127776	3.900000
-0.965178	-0.155039	-0.112614	-0.121697	4.000000
-0.974497	-0.166896	-0.073999	-0.115290	4.100000
-0.979978	-0.178097	-0.035804	-0.108550	4.200000
-0.981658	-0.188606	0.002113	-0.101463	4.300000
-0.979556	-0.198389	0.039892	-0.094008	4.400000
-0.973679	-0.207408	0.077671	-0.086158	4.500000
-0.964021	-0.215621	0.115589	-0.077879	4.600000
-0.950561	-0.222984	0.153782	-0.069127	4.700000
-0.933265	-0.229446	0.192389	-0.059851	4.800000
-0.912084	-0.234954	0.231554	-0.049991	4.900000
-0.886954	-0.239444	0.271418	-0.039473	5.000000
-0.857800	-0.242848	0.312128	-0.028212	5.100000
-0.824529	-0.245087	0.353827	-0.016108	5.200000
-0.787035	-0.246070	0.396650	-0.003045	5.300000
-0.745199	-0.245696	0.440716	0.011114	5.400000
-0.698891	-0.243847	0.486107	0.026522	5.500000
-0.647977	-0.240391	0.532841	0.043351	5.600000
-0.592323	-0.235177	0.580818	0.061782	5.700000
-0.531814	-0.228035	0.629746	0.081991	5.800000
-0.466374	-0.218779	0.679022	0.104113	5.900000
-0.396009	-0.207212	0.727566	0.128180	6.000000
-0.320861	-0.193143	0.773627	0.154025	6.100000
-0.241284	-0.176407	0.814626	0.181140	6.200000
-0.157936	-0.156915	0.847187	0.208542	6.300000
-0.071846	-0.134699	0.867603	0.234740	6.400000
0.015585	-0.109967	0.872811	0.257922	6.500000
0.102716	-0.083114	0.861552	0.276418	6.600000
0.187895	-0.054683	0.834975	0.289208	6.700000
0.269711	-0.025273	0.796192	0.296161	6.800000
0.347134	0.004549	0.749121	0.297890	6.900000
0.419535	0.034305	0.697396	0.295385	7.000000
0.486613	0.063626	0.643798	0.289680	7.100000
0.548295	0.092241	0.590183	0.281672	7.200000
0.604650	0.119960	0.537653	0.272053	7.300000
0.655825	0.146652	0.486779	0.261330	7.400000
0.702005	0.172226	0.437795	0.249855	7.500000
0.743384	0.196623	0.390734	0.237868	7.600000
0.780152	0.219800	0.345515	0.225525	7.700000
0.812487	0.241728	0.301995	0.212927	7.800000
0.840551	0.262385	0.260007	0.200133	7.900000
0.864489	0.281755	0.219374	0.187174	8.000000
0.884426	0.299820	0.179918	0.174060	8.100000
0.900472	0.316567	0.141469	0.160787	8.200000
0.912720	0.331978	0.103864	0.147341	8.300000
0.921245	0.346035	0.066949	0.133696	8.400000
0.926110	0.358717	0.030576	0.119822	8.500000
0.927360	0.369999	-0.005395	0.105680	8.600000
0.925031	0.379853	-0.041101	0.091227	8.700000
0.919140	0.388244	-0.076671	0.076411	8.800000
0.909696	0.395135	-0.112236	0.061176	8.900000
0.896693	0.400480	-0.147922	0.045456	9.000000
0.880112	0.404226	-0.183856	0.029179	9.100000
0.859922	0.406315	-0.220165	0.012261	9.200000
0.836079	0.406678	-0.256977	-0.005391	9.300000
0.808526	0.405237	-0.294418	-0.023882	9.400000
0.777195	0.401902	-0.332612	-0.043332	9.500000
0.742004	0.396571	-0.371675	-0.063875	9.600000
0.702860	0.389127	-0.411708	-0.085660	9.700000
0.659662	0.379439	-0.452784	-0.108849	9.800000
0.612304	0.367357	-0.494920	-0.133615	9.900000
0.560678	0.352716	-0.538046	-0.160123	10.000000
0.504694	0.335333	-0.581936	-0.188515	10.100000
0.444291	0.315013	-0.626126	-0.218860	10.200000
0.379469	0.291561	-0.669772	-0.251085	10.300000
0.310337	0.264796	-0.711495	-0.284855	10.400000
0.237170	0.234590	-0.749207	-0.319417	10.500000
0.160495	0.200913	-0.780074	-0.353447	10.600000
0.081156	0.163900	-0.800759	-0.384996	10.700000
0.000343	0.123913	-0.808157	-0.411711	10.800000
-0.080476	0.081558	-0.800449	-0.431397	10.900000
-0.159747	0.037634	-0.777942	-0.442721	11.000000
-0.236064	-0.006986	-0.743033	-0.445603	11.100000
-0.308353	-0.051487	-0.699299	-0.441068	11.200000
-0.375924	-0.095200	-0.650368	-0.430712	11.300000
-0.438427	-0.137629	-0.599182	-0.416181	11.400000
-0.495760	-0.178436	-0.547775	-0.398867	11.500000
-0.547982	-0.217403	-0.497384	-0.379817	11.600000
-0.595237	-0.254399	-0.448667	-0.359757	11.700000
-0.637715	-0.289354	-0.401906	-0.339169	11.800000
-0.675618	-0.322233	-0.357152	-0.318355	11.900000
-0.709146	-0.353025	-0.314332	-0.297495	12.000000
-0.738485	-0.381732	-0.273305	-0.276687	12.100000
-0.763807	-0.408363	-0.233900	-0.255976	12.200000
-0.785265	-0.432927	-0.195938	-0.235369	12.300000
-0.802994	-0.455436	-0.159240	-0.214850	12.400000
-0.817113	-0.475897	-0.123635	-0.194389	12.500000
-0.827721	-0.494314	-0.088962	-0.173942	12.600000
-0.834905	-0.510686	-0.055070	-0.153459	12.700000
-0.838735	-0.525006	-0.021816	-0.132883	12.800000
-0.839268	-0.537262	0.010934	-0.112152	12.900000
-0.836549	-0.547436	0.043306	-0.091199	13.000000
-0.830607	-0.555502	0.075423	-0.069952	13.100000
-0.821464	-0.561427	0.107400	-0.048331	13.200000
-0.809127	-0.565168	0.139353	-0.026253	13.300000
-0.793593	-0.566677	0.171391	-0.003625	13.400000
-0.774849	-0.565893	0.203624	0.019655	13.500000
-0.752869	-0.562746	0.236160	0.043697	13.600000
-0.727617	-0.557154	0.269105	0.068625	13.700000
-0.699048	-0.549021	0.302559	0.094573	13.800000
-0.667105	-0.538239	0.336616	0.121690	13.900000
-0.631724	-0.524683	0.371357	0.150136	14.000000
-0.592834	-0.508212	0.406836	0.180082	14.100000
-0.550357	-0.488667	0.443067	0.211703	14.200000
-0.504220	-0.465872	0.479992	0.245160	14.300000
-0.454359	-0.439635	0.517439	0.280580	14.400000
-0.400733	-0.409755	0.555050	0.318005	14.500000
-0.343349	-0.376034	0.592186	0.357310	14.600000
-0.282295	-0.338293	0.627791	0.398086	14.700000
-0.217791	-0.296417	0.660256	0.439464	14.800000
-0.150244	-0.250401	0.687326	0.479932	14.900000
-0.080325	-0.200430	0.706217	0.517238	15.000000
-0.009001	-0.146953	0.714088	0.548561	15.100000
0.062492	-0.090718	0.708905	0.571102	15.200000
0.132780	-0.032733	0.690310	0.582951	15.300000
0.200554	0.025872	0.659919	0.583749	15.400000
0.264764	0.084017	0.620745	0.574675	15.500000
0.324703	0.140807	0.576177	0.557832	15.600000
0.379999	0.195583	0.529138	0.535503	15.700000
0.430531	0.247908	0.481733	0.509662	15.800000
0.476346	0.297516	0.435276	0.481796	15.900000
0.517586	0.344267	0.390476	0.452926	16.000000
0.554441	0.388101	0.347645	0.423708	16.100000
0.587115	0.429008	0.306846	0.394539	16.200000
0.615810	0.467009	0.268012	0.365638	16.300000
0.640717	0.502136	0.231002	0.337113	16.400000
0.662011	0.534431	0.195645	0.308997	16.500000
0.679847	0.563935	0.161765	0.281277	16.600000
0.694364	0.590687	0.129185	0.253913	16.700000
0.705684	0.614718	0.097739	0.226847	16.800000
0.713911	0.636056	0.067272	0.200009	16.900000
0.719138	0.654720	0.037639	0.173323	17.000000
0.721439	0.670720	0.008707	0.146707	17.100000
0.720879	0.684061	-0.019646	0.120077	17.200000
0.717510	0.694736	-0.047536	0.093343	17.300000
0.711372	0.702730	-0.075072	0.066414	17.400000
0.702496	0.708019	-0.102354	0.039191	17.500000
0.690901	0.710568	-0.129480	0.011572	17.600000
0.676600	0.710333	-0.156543	-0.016550	17.700000
0.659592	0.707258	-0.183633	-0.045294	17.800000
0.639873	0.701274	-0.210834	-0.074784	17.900000
0.617426	0.692301	-0.238229	-0.105156	18.000000
0.592227	0.680243	-0.265895	-0.136558	18.100000
0.564247	0.664989	-0.293900	-0.169146	18.200000
0.533447	0.646414	-0.322299	-0.203091	18.300000
0.499787	0.624371	-0.351127	-0.238569	18.400000
0.463222	0.598700	-0.380386	-0.275758	18.500000
0.423710	0.569220	-0.410022	-0.314820	18.600000
0.381217	0.535736	-0.439895	-0.355879	18.700000
0.335731	0.498044	-0.469730	-0.398968	18.800000
0.287271	0.455942	-0.499047	-0.443957	18.900000
0.235921	0.409252	-0.527064	-0.490426	19.000000
0.181859	0.357857	-0.552588	-0.537491	19.100000
0.125404	0.301754	-0.573929	-0.583599	19.200000
0.067073	0.241137	-0.588928	-0.626371	19.300000
0.007618	0.176480	-0.595243	-0.662688	19.400000
-0.051976	0.108600	-0.590959	-0.689208	19.500000
-0.110574	0.038638	-0.575362	-0.703322	19.600000
-0.167048	-0.032065	-0.549392	-0.704085	19.700000
-0.220452	-0.102179	-0.515392	-0.692496	19.800000
-0.270127	-0.170564	-0.476301	-0.670944	19.900000
-0.315712	-0.236368	-0.434827	-0.642291	20.000000
-0.357092	-0.299022	-0.392999	-0.609130	20.100000
-0.394312	-0.358193	-0.352110	-0.573463	20.200000
-0.427514	-0.413715	-0.312865	-0.536676	20.300000
-0.456885	-0.465529	-0.275566	-0.499653	20.400000
-0.482627	-0.513645	-0.240276	-0.462917	20.500000
-0.504940	-0.558112	-0.206919	-0.426752	20.600000
