x1	x2	t
0.000000	1.000000	0.000000
0.3000000000	0.9100000000	0.300000
0.5730000000	0.7381000000	0.600000
0.7944300000	0.4997710000	0.900000
0.9443613000	0.2164626100	1.200000
1.0093000830	-0.0863274149	1.500000
0.9834018585	-0.3813479725	1.800000
0.8689974668	-0.6420472125	2.100000
0.6763833030	-0.8449622034	2.400000
0.4228946420	-0.9718305960	2.700000
0.1313454632	-1.0112342350	3.000000
-0.1720248073	-0.9596267928	3.300000
-0.4599128451	-0.8216529393	3.600000
-0.7064087269	-0.6097303212	3.900000
-0.8893278233	-0.3429319742	4.200000
-0.9922074155	-0.0452697496	4.500000
-1.0057883404	0.2564667526	4.800000
-0.9288483146	0.5351212469	5.100000
-0.7683119405	0.7656148291	5.400000
-0.5386274918	0.9272030766	5.700000
-0.2604665688	1.0053430473	6.000000
0.0411363454	0.9930021437	6.300000
0.3390369885	0.8912910471	6.600000
0.6064243026	0.7093637563	6.900000
0.8192334295	0.4635937275	7.200000
0.9583115478	0.1761002632	7.500000
1.0111416267	-0.1272422249	7.800000
0.9729689593	-0.4191329126	8.100000
0.8472290855	-0.6733016383	8.400000
0.6452385940	-0.8668732165	8.700000
0.3851766290	-0.9824262052	9.000000
0.0904487675	-1.0095608354	9.300000
-0.2124194831	-0.9458349905	9.600000
-0.4961699803	-0.7969839964	9.900000
-0.7352651792	-0.5764044426	10.200000
-0.9081865120	-0.3039484890	10.500000
-0.9993710587	-0.0041371714	10.800000
-1.0006122101	0.2960464916	11.100000
-0.9117982627	0.5695859704	11.400000
-0.7409224715	0.7918627119	11.700000
-0.5033636580	0.9428718093	12.000000
-0.2205021152	1.0090224438	12.300000
0.0822046179	0.9843610584	12.600000
0.3775129355	0.8711071778	12.900000
0.6388450888	0.6794536511	13.200000
0.8426811842	0.4266492959	13.500000
0.9706759729	0.1354465040	13.800000
1.0113099241	-0.1679464732	14.100000
0.9609259822	-0.4562242679	14.400000
0.8240587018	-0.7034418784	14.700000
0.6130261383	-0.7953957992	15.000000
