x1	x2	t
0.000000	1.000000	0.000000
0.0299955000	0.9995500337	0.030000
0.0599640061	0.9982005399	0.060000
0.0898785486	0.9959527331	0.090000
0.1197122065	0.9928086359	0.120000
0.1494381315	0.9887710781	0.150000
0.1790295722	0.9838436930	0.180000
0.2084598985	0.9780309150	0.210000
0.2377026248	0.9713379752	0.240000
0.2667314349	0.9637708968	0.270000
0.2955202047	0.9553364897	0.300000
0.3240430263	0.9460423442	0.330000
0.3522742310	0.9358968245	0.360000
0.3801884127	0.9249090608	0.390000
0.4077604504	0.9130889414	0.420000
0.4349655313	0.9004471036	0.450000
0.4617791726	0.8869949242	0.480000
0.4881772438	0.8727445093	0.510000
0.5141359885	0.8577086832	0.540000
0.5396320454	0.8419009772	0.570000
0.5646424700	0.8253356171	0.600000
0.5891447544	0.8080275107	0.630000
0.6131168484	0.7899922341	0.660000
0.6365371786	0.7712460179	0.690000
0.6593846682	0.7518057323	0.720000
0.6816387562	0.7316888722	0.750000
0.7032794154	0.7109135416	0.780000
0.7242871705	0.6894984368	0.810000
0.7446431161	0.6674628300	0.840000
0.7643289331	0.6448265516	0.870000
0.7833269057	0.6216099729	0.900000
0.8016199370	0.5978339872	0.930000
0.8191915645	0.5735199913	0.960000
0.8360259748	0.5486898661	0.990000
0.8521080182	0.5233659570	1.020000
0.8674232219	0.4975710539	1.050000
0.8819578033	0.4713283705	1.080000
0.8956986822	0.4446615234	1.110000
0.9086334927	0.4175945109	1.140000
0.9207505945	0.3901516915	1.170000
0.9320390828	0.3623577620	1.200000
0.9424887990	0.3342377349	1.230000
0.9520903388	0.3058169164	1.260000
0.9608350616	0.2771208834	1.290000
0.9687150977	0.2481754602	1.320000
0.9757233556	0.2190066959	1.350000
0.9818535284	0.1896408404	1.380000
0.9871000993	0.1601043209	1.410000
0.9914583467	0.1304237183	1.440000
0.9949243485	0.1006257432	1.470000
0.9974949856	0.0707372117	1.500000
0.9991679446	0.0407850215	1.530000
0.9999417199	0.0107961276	1.560000
0.9998156151	-0.0192024822	1.590000
0.9987897437	-0.0491838110	1.620000
0.9968650291	-0.0791208777	1.650000
0.9940432032	-0.1089867409	1.680000
0.9903268055	-0.1387545235	1.710000
0.9857191805	-0.1683974363	1.740000
0.9802244749	-0.1978888028	1.770000
0.9738476333	-0.2272020828	1.800000
0.9665943947	-0.2563108962	1.830000
0.9584712864	-0.2851890471	1.860000
0.9494856186	-0.3138105471	1.890000
0.9396454778	-0.3421496389	1.920000
0.9289597196	-0.3701808190	1.950000
0.9174379603	-0.3978788614	1.980000
0.9050905688	-0.4252188397	2.010000
0.8919286569	-0.4521761497	2.040000
0.8779640694	-0.4787265317	2.070000
0.8632093735	-0.5048460922	2.100000
0.8476778475	-0.5305113252	2.130000
0.8313834686	-0.5556991339	2.160000
0.8143409007	-0.5803868509	2.190000
0.7965654810	-0.6045522589	2.220000
0.7780732061	-0.6281736107	2.250000
0.7588807179	-0.6512296486	2.280000
0.7390052883	-0.6736996238	2.310000
0.7184648038	-0.6955633148	2.340000
0.6972777494	-0.7168010458	2.370000
0.6754631922	-0.7373937043	2.400000
0.6530407637	-0.7573227582	2.430000
0.6300306426	-0.7765702728	2.460000
0.6064535365	-0.7951189265	2.490000
0.5823306631	-0.8129520269	2.520000
0.5576837314	-0.8300535253	2.550000
0.5325349221	-0.8464080316	2.580000
0.5069068672	-0.8620008278	2.610000
0.4808226304	-0.8768178814	2.640000
0.4543056857	-0.8908458582	2.670000
0.4273798965	-0.9040721338	2.700000
0.4000694943	-0.9164848056	2.730000
0.3723990565	-0.9280727028	2.760000
0.3443934848	-0.9388253973	2.790000
0.3160779821	-0.9487332124	2.820000
0.2874780306	-0.9577872316	2.850000
0.2586193683	-0.9659793069	2.880000
0.2295279660	-0.9733020661	2.910000
0.2002300041	-0.9797489191	2.940000
0.1707518486	-0.9853140642	2.970000
0.1411200280	-0.9899924932	3.000000
0.1113612089	-0.9937799958	3.030000
0.0815021723	-0.9966731635	3.060000
0.0515697892	-0.9986693926	3.090000
0.0215909968	-0.9997668867	3.120000
-0.0084072261	-0.9999646581	3.150000
-0.0383978830	-0.9992625288	3.180000
-0.0683539845	-0.9976611307	3.210000
-0.0982485719	-0.9951619049	3.240000
-0.1280547423	-0.9917671006	3.270000
-0.1577456721	-0.9874797729	3.300000
-0.1872946414	-0.9823037800	3.330000
-0.2166750581	-0.9762437800	3.360000
-0.2458604820	-0.9693052266	3.390000
-0.2748246480	-0.9614943638	3.420000
-0.3035414904	-0.9528182211	3.450000
-0.3319851659	-0.9432846063	3.480000
-0.3601300772	-0.9329020990	3.510000
-0.3879508957	-0.9216800428	3.540000
-0.4154225846	-0.9096285368	3.570000
-0.4425204212	-0.8967584265	3.600000
-0.4692200194	-0.8830812942	3.630000
-0.4954973512	-0.8686094483	3.660000
-0.5213287688	-0.8533559126	3.690000
-0.5466910257	-0.8373344142	3.720000
-0.5715612976	-0.8205593713	3.750000
-0.5959172029	-0.8030458804	3.780000
-0.6197368230	-0.7848097024	3.810000
-0.6429987218	-0.7658672486	3.840000
-0.6656819651	-0.7462355660	3.870000
-0.6877661396	-0.7259323218	3.900000
-0.7092313710	-0.7049757875	3.930000
-0.7300583421	-0.6833848226	3.960000
-0.7502283099	-0.6611788575	3.990000
-0.7697231229	-0.6383778761	4.020000
-0.7885252371	-0.6150023977	4.050000
-0.8066177318	-0.5910734586	4.080000
-0.8239843249	-0.5666125933	4.110000
-0.8406093878	-0.5416418149	4.140000
-0.8564779590	-0.5161835955	4.170000
-0.8715757579	-0.4902608457	4.200000
-0.8858891974	-0.4638968942	4.230000
-0.8994053965	-0.4371154668	4.260000
-0.9121121914	-0.4099406651	4.290000
-0.9239981469	-0.3823969444	4.320000
-0.9350525665	-0.3545090922	4.350000
-0.9452655018	-0.3263022059	4.380000
-0.9546277621	-0.2978016695	4.410000
-0.9631309218	-0.2690331318	4.440000
-0.9707673287	-0.2400224824	4.470000
-0.9775301105	-0.2107958290	4.500000
-0.9834131813	-0.1813794735	4.530000
-0.9884112465	-0.1517998888	4.560000
-0.9925198084	-0.1220836944	4.590000
-0.9957351694	-0.0922576330	4.620000
-0.9980544360	-0.0623485459	4.650000
-0.9994755210	-0.0323833493	4.680000
-0.9999971455	-0.0023890099	4.710000
-0.9996188401	0.0276074795	4.740000
-0.9983409452	0.0575791239	4.770000
-0.9961646109	0.0874989511	4.800000
-0.9930917956	0.1173400351	4.830000
-0.9891252648	0.1470755210	4.860000
-0.9842685880	0.1766786489	4.890000
-0.9785261360	0.2061227779	4.920000
-0.9719030765	0.2353814103	4.950000
-0.9644053698	0.2644282153	4.980000
-0.9560397634	0.2932370528	5.010000
-0.9468137857	0.3217819968	5.040000
-0.9367357396	0.3500373586	5.070000
-0.9258146945	0.3779777105	5.100000
-0.9140604788	0.4055779080	5.130000
-0.9014836703	0.4328131127	5.160000
-0.8880955873	0.4596588148	5.190000
-0.8739082783	0.4860908551	5.220000
-0.8589345108	0.5120854464	5.250000
-0.8431877603	0.5376191953	5.280000
-0.8266821977	0.5626691233	5.310000
-0.8094326769	0.5872126870	5.340000
-0.7914547213	0.6112277990	5.370000
-0.7727645100	0.6346928472	5.400000
-0.7533788627	0.6575867147	5.430000
-0.7333152254	0.6798887986	5.460000
-0.7125916538	0.7015790284	5.490000
-0.6912267979	0.7226378845	5.520000
-0.6692398845	0.7430464152	5.550000
-0.6466507004	0.7627862544	5.580000
-0.6234795743	0.7818396374	5.610000
-0.5997473587	0.8001894175	5.640000
-0.5754754109	0.8178190812	5.670000
-0.5506855742	0.8347127629	5.700000
-0.5254001576	0.8508552594	5.730000
-0.4996419163	0.8662320437	5.760000
-0.4734340310	0.8808292776	5.790000
-0.4468000871	0.8946338246	5.820000
-0.4197640533	0.9076332616	5.850000
